[2025-10-14T23:12:19.671+0530][2.523s][info][gc,phases   ] GC(5)   Post Evacuate Collection Set: 0.32ms
[2025-10-14T23:12:19.671+0530][2.523s][info][gc,phases   ] GC(5)   Other: 0.10ms
[2025-10-14T23:12:19.671+0530][2.523s][info][gc,heap     ] GC(5) Eden regions: 147->0(191)
[2025-10-14T23:12:19.671+0530][2.523s][info][gc,heap     ] GC(5) Survivor regions: 1->1(19)
[2025-10-14T23:12:19.671+0530][2.523s][info][gc,heap     ] GC(5) Old regions: 0->0
[2025-10-14T23:12:19.671+0530][2.523s][info][gc,heap     ] GC(5) Humongous regions: 0->0
[2025-10-14T23:12:19.671+0530][2.523s][info][gc,metaspace] GC(5) Metaspace: 295K(448K)->295K(448K) NonClass: 279K(320K)->279K(320K) Class: 16K(128K)->16K(128K)
[2025-10-14T23:12:19.671+0530][2.524s][info][gc          ] GC(5) Pause Young (Normal) (G1 Evacuation Pause) 147M->0M(512M) 1.905ms
[2025-10-14T23:12:19.671+0530][2.524s][info][gc,cpu      ] GC(5) User=0.00s Sys=0.00s Real=0.00s
[2025-10-14T23:12:20.545+0530][3.398s][info][gc,start    ] GC(6) Pause Young (Normal) (G1 Evacuation Pause)
[2025-10-14T23:12:20.546+0530][3.398s][info][gc,task     ] GC(6) Using 10 workers of 10 for evacuation
[2025-10-14T23:12:20.547+0530][3.399s][info][gc,phases   ] GC(6)   Pre Evacuate Collection Set: 0.18ms
[2025-10-14T23:12:20.547+0530][3.399s][info][gc,phases   ] GC(6)   Merge Heap Roots: 0.09ms
[2025-10-14T23:12:20.547+0530][3.399s][info][gc,phases   ] GC(6)   Evacuate Collection Set: 0.91ms
[2025-10-14T23:12:20.547+0530][3.399s][info][gc,phases   ] GC(6)   Post Evacuate Collection Set: 0.50ms
[2025-10-14T23:12:20.547+0530][3.400s][info][gc,phases   ] GC(6)   Other: 0.11ms
[2025-10-14T23:12:20.547+0530][3.400s][info][gc,heap     ] GC(6) Eden regions: 191->0(238)
[2025-10-14T23:12:20.547+0530][3.400s][info][gc,heap     ] GC(6) Survivor regions: 1->1(24)
[2025-10-14T23:12:20.547+0530][3.400s][info][gc,heap     ] GC(6) Old regions: 0->0
[2025-10-14T23:12:20.547+0530][3.400s][info][gc,heap     ] GC(6) Humongous regions: 0->0
